timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2022-09-29T00:00:00.000Z";"2022-09-29T23:59:59.999Z";"2022-09-29T04:59:00.000Z";"2022-09-29T14:19:00.000Z";"2783";104437.2962812308;105659.2402050381;102464.0193363053;105659.2402050381;220605823550.3804;2016417755323.5942;"2022-09-29T23:59:59.999Z"
"2022-09-28T00:00:00.000Z";"2022-09-28T23:59:59.999Z";"2022-09-28T21:31:00.000Z";"2022-09-28T02:44:00.000Z";"2783";102784.7703096048;105848.4770199274;99805.6078055174;104445.8245676371;285528894316.16156;2002901493323.389;"2022-09-28T23:59:59.999Z"
"2022-09-27T00:00:00.000Z";"2022-09-27T23:59:59.999Z";"2022-09-27T12:52:00.000Z";"2022-09-27T18:25:00.000Z";"2783";103624.9432824397;109644.6133909843;101630.1049110349;102814.7404443331;315758630985.80676;1974198935027.7998;"2022-09-27T23:59:59.999Z"
"2022-09-26T00:00:00.000Z";"2022-09-26T23:59:59.999Z";"2022-09-26T09:05:00.000Z";"2022-09-26T07:01:00.000Z";"2783";98914.1584992306;103629.4257448604;98477.7078352905;103629.4257448604;232235923805.8474;1937557567779.4727;"2022-09-26T23:59:59.999Z"
"2022-09-25T00:00:00.000Z";"2022-09-25T23:59:59.999Z";"2022-09-25T11:53:00.000Z";"2022-09-25T22:07:00.000Z";"2783";99694.5105147059;100739.1464856612;98383.5645955269;98904.6759814493;122983844311.30136;1896667110406.0588;"2022-09-25T23:59:59.999Z"
"2022-09-24T00:00:00.000Z";"2022-09-24T23:59:59.999Z";"2022-09-24T00:08:00.000Z";"2022-09-24T22:53:00.000Z";"2783";101610.2342487122;101679.7765226391;99303.1437856153;99698.1940358604;137693561063.7346;1910499250899.0557;"2022-09-24T23:59:59.999Z"
"2022-09-23T00:00:00.000Z";"2022-09-23T23:59:59.999Z";"2022-09-23T04:56:00.000Z";"2022-09-23T14:26:00.000Z";"2783";99341.0153783529;101613.6418103489;97420.0696348911;101613.6418103489;199046789823.66354;1891999838270.2808;"2022-09-23T23:59:59.999Z"
"2022-09-22T00:00:00.000Z";"2022-09-22T23:59:59.999Z";"2022-09-22T23:11:00.000Z";"2022-09-22T01:00:00.000Z";"2783";95859.3542428483;99568.7958450961;95243.5976625843;99346.9090643941;212750078137.66757;1923553568834.348;"2022-09-22T23:59:59.999Z"
"2022-09-21T00:00:00.000Z";"2022-09-21T23:59:59.999Z";"2022-09-21T18:01:00.000Z";"2022-09-21T22:20:00.000Z";"2783";97157.849009577;102001.1534905161;94593.8520904601;95927.151557822;238448946047.3627;1827383947159.1294;"2022-09-21T23:59:59.999Z"
"2022-09-20T00:00:00.000Z";"2022-09-20T23:59:59.999Z";"2022-09-20T00:11:00.000Z";"2022-09-20T18:01:00.000Z";"2783";101103.4799903387;101401.548500784;97159.1064804464;97159.1064804464;190310598083.27307;1871878225222.5452;"2022-09-20T23:59:59.999Z"
"2022-09-19T00:00:00.000Z";"2022-09-19T23:59:59.999Z";"2022-09-19T22:58:00.000Z";"2022-09-19T06:46:00.000Z";"2783";101990.2208200513;101990.2208200513;96589.6319264249;101095.9173697884;211017653179.4592;1966284613337.6294;"2022-09-19T23:59:59.999Z"
"2022-09-18T00:00:00.000Z";"2022-09-18T23:59:59.999Z";"2022-09-18T00:00:00.000Z";"2022-09-18T22:32:00.000Z";"2783";105735.7466217486;105735.7466217486;101849.6072594837;101995.130415145;164192825345.4381;1954097265169.0522;"2022-09-18T23:59:59.999Z"
